"codigo","lat","e/w","lon","n/s","nome sem acento","uf","nome original","altitude","area"
2895,"-14.06.11","W","-39.00.53","S","marau","BA","Maraú",36.000,777.300
2896,"-09.14.08","W","-37.21.00","S","maravilha","AL","Maravilha",362.000,280.900
2897,"-26.45.39","W","-53.10.21","S","maravilha","SC","Maravilha",625.000,169.000
2898,"-19.30.58","W","-44.40.35","S","maravilhas","MG","Maravilhas",775.000,261.200
2899,"-06.46.12","W","-35.00.53","S","marcacao","PB","Marcação",89.000,95.100
2900,"-11.05.22","W","-54.27.02","S","marcelandia","MT","Marcelândia",290.000,13127.000
2901,"-27.27.42","W","-51.54.23","S","marcelino ramos","RS","Marcelino Ramos",405.000,230.000
2902,"-06.17.39","W","-38.10.02","S","marcelino vieira","RN","Marcelino Vieira",230.000,324.300
2903,"-13.00.11","W","-40.31.50","S","marcionilio souza","BA","Marcionílio Souza",292.000,1166.600
2904,"-03.07.26","W","-40.08.48","S","marco","CE","Marco",20.000,583.800
2905,"-07.26.33","W","-40.39.40","S","marcolandia","PI","Marcolândia",0.000,140.700
2906,"-07.07.14","W","-43.53.40","S","marcos parente","PI","Marcos Parente",274.000,750.300
2907,"-24.33.22","W","-54.03.24","S","marechal candido rondon","PR","Marechal Cândido Rondon",410.000,670.800
2908,"-09.42.37","W","-35.53.42","S","marechal deodoro","AL","Marechal Deodoro",31.000,363.300
2909,"-20.24.46","W","-40.40.59","S","marechal floriano","ES","Marechal Floriano",560.000,288.600
2910,"-08.56.28","W","-72.47.30","S","marechal thaumaturgo","AC","Marechal Thaumaturgo",190.000,7700.600
2911,"-26.48.08","W","-52.37.31","S","marema","SC","Marema",417.000,99.700
2912,"-07.03.36","W","-35.19.10","S","mari","PB","Mari",143.000,157.500
2913,"-22.18.29","W","-45.22.31","S","maria da fe","MG","Maria da Fé",1278.000,204.300
2914,"-23.36.59","W","-53.12.18","S","maria helena","PR","Maria Helena",373.000,470.900
2915,"-23.29.06","W","-51.47.30","S","marialva","PR","Marialva",670.000,476.400
2916,"-20.22.40","W","-43.24.58","S","mariana","MG","Mariana",712.000,1196.700
2917,"-30.21.09","W","-51.34.59","S","mariana pimentel","RS","Mariana Pimentel",119.000,326.600
2918,"-27.21.14","W","-52.08.50","S","mariano moro","RS","Mariano Moro",475.000,102.800
2919,"-09.47.45","W","-49.39.15","S","marianopolis do tocantins","TO","Marianópolis do Tocantins",146.000,2100.000
2920,"-21.47.56","W","-51.10.53","S","mariapolis","SP","Mariápolis",410.000,186.600
2921,"-09.34.38","W","-36.18.19","S","maribondo","AL","Maribondo",157.000,172.000
2922,"-22.55.10","W","-42.49.07","S","marica","RJ","Maricá",5.000,363.800
2923,"-18.30.29","W","-42.05.02","S","marilac","MG","Marilac",248.000,164.600
2924,"-19.24.46","W","-40.32.30","S","marilandia","ES","Marilândia",150.000,307.800
2925,"-23.44.41","W","-51.18.28","S","marilandia do sul","PR","Marilândia do Sul",758.000,390.400
2926,"-22.44.09","W","-53.02.24","S","marilena","PR","Marilena",380.000,216.400
2927,"-22.12.50","W","-49.56.45","S","marilia","SP","Marília",675.000,1173.100
2928,"-24.00.08","W","-53.08.46","S","mariluz","PR","Mariluz",453.000,444.700
2929,"-23.25.31","W","-51.56.19","S","maringa","PR","Maringá",596.000,490.900
2930,"-20.26.26","W","-50.49.23","S","marinopolis","SP","Marinópolis",408.000,78.300
2931,"-20.03.23","W","-44.11.18","S","mario campos","MG","Mário Campos",730.000,35.300
2932,"-26.21.17","W","-52.33.31","S","mariopolis","PR","Mariópolis",879.000,231.800
2933,"-24.25.06","W","-53.49.48","S","maripa","PR","Maripá",402.000,320.300
2934,"-21.41.53","W","-42.57.32","S","maripa de minas","MG","Maripá de Minas",550.000,77.900
2935,"-01.21.19","W","-48.20.31","S","marituba","PA","Marituba",18.000,109.100
2936,"-06.50.30","W","-38.20.50","S","marizopolis","PB","Marizópolis",300.000,74.100
2937,"-19.42.44","W","-42.43.56","S","marlieria","MG","Marliéria",536.000,543.300
2938,"-26.08.58","W","-53.01.34","S","marmeleiro","PR","Marmeleiro",660.000,392.000
2939,"-22.26.57","W","-45.09.55","S","marmelopolis","MG","Marmelópolis",1277.000,108.100
2940,"-29.19.39","W","-52.05.33","S","marques de souza","RS","Marques de Souza",69.000,127.100
2941,"-25.06.48","W","-52.15.15","S","marquinho","PR","Marquinho",836.000,509.800
2942,"-19.19.54","W","-45.14.13","S","martinho campos","MG","Martinho Campos",674.000,1063.300
